Source,Target,Type,id,label,timeset,weight,si,residual_dev_perc,nul_.deviance
ESR1,HNF4A.2,Directed,5,ESR1 - HNF4A.2 - NFE2L2 - PPARA.1,,0.69283968,0.309528757,0.30716032,184.8585984
ESR1,NFE2L2,Directed,1039,,,0.688660662,0.304523346,0.311339338,184.8585984
ESR1,NFE2L2,Directed,1045,,,0.690317905,0.303820758,0.309682095,184.8585984
ESR1,NFE2L2,Directed,1068,,,0.68368234,0.301157511,0.31631766,184.8585984
ESR1,NFE2L2,Directed,1069,,,0.68373376,0.301302802,0.31626624,184.8585984
ESR1,NFE2L2,Directed,1082,ESR1 - NFE2L2 - HNF4A.3 - PPARA.1,,0.68979854,0.303301967,0.31020146,184.8585984
ESR1,NFE2L2,Directed,1165,,,0.685955452,0.302418723,0.314044548,184.8585984
ESR1,NFE2L2,Directed,1171,,,0.690931824,0.30342166,0.309068176,184.8585984
HNF4A.2,NFE2L2,Directed,16304,,,0.694929164,0.306939259,0.305070836,184.8585984
HNF4A.2,NFE2L2,Directed,16345,,,0.67524495,0.304633093,0.32475505,184.8585984
HNF4A.2,NFE2L2,Directed,16386,,,0.683733208,0.307283645,0.316266792,184.8585984
HNF4A.2,NFE2L2,Directed,16387,HNF4A.2 - NFE2L2 - PPARA.1 - NR1I3,,0.667167126,0.302367702,0.332832874,184.8585984
HNF4A.2,NFE2L2,Directed,16388,,,0.67068792,0.303399722,0.32931208,184.8585984
HNF4A.2,NFE2L2,Directed,16390,,,0.690024497,0.310055483,0.309975503,184.8585984
HNF4A.2,NFE2L2,Directed,16392,,,0.663989376,0.30469499,0.336010624,184.8585984
HNF4A.2,NFE2L2,Directed,16400,,,0.684356448,0.310054022,0.315643552,184.8585984
HNF4A.2,NFE2L2,Directed,16414,,,0.668488755,0.30469322,0.331511245,184.8585984
HNF4A.2,PPARA.1,Directed,20955,HNF4A.2 - PPARA.1 - THRB - PGRMC1,,0.653093789,0.309179156,0.346906211,184.8585984
NFE2L2,NR1I2,Directed,31440,,,0.689979232,0.304484948,0.310020768,184.8585984
NFE2L2,NR1I2,Directed,31446,NFE2L2 - NR1I2 - ESR1.2 - PPARA.4,,0.690250085,0.304253856,0.309749915,184.8585984
NFE2L2,NR1I2,Directed,31458,,,0.68312917,0.301078732,0.31687083,184.8585984
NFE2L2,NR1I2,Directed,31522,NFE2L2 - NR1I2 - PPARA.1 - FOXA2,,0.685062951,0.305720365,0.314937049,184.8585984
NFE2L2,NR1I2,Directed,31546,,,0.683561474,0.304705411,0.316438526,184.8585984
NFE2L2,HNF4A.3,Directed,32343,,,0.691352765,0.303420573,0.308647235,184.8585984
NFE2L2,HNF4A.3,Directed,32350,,,0.679429278,0.305202876,0.320570722,184.8585984
NFE2L2,HNF4A.3,Directed,32429,,,0.686720062,0.30105507,0.313279938,184.8585984
NFE2L2,ESR1.2,Directed,33245,,,0.68656779,0.30276582,0.31343221,184.8585984
NFE2L2,ESR1.2,Directed,33251,NFE2L2 - ESR1.2 - NR1I2.1 - PPARA.4,,0.687002062,0.302076081,0.312997938,184.8585984
NFE2L2,NR1I2.1,Directed,34106,,,0.686387522,0.306695049,0.313612478,184.8585984
NFE2L2,NR1I2.1,Directed,34111,NFE2L2 - NR1I2.1 - PPARA.1 - PPARA.4,,0.669904032,0.300983639,0.330095968,184.8585984
NFE2L2,NR1I2.1,Directed,34130,,,0.67832025,0.302557882,0.32167975,184.8585984
NFE2L2,PPARA.1,Directed,34928,NFE2L2 - PPARA.1 - FOXA2 - NR1I3.1,,0.671666391,0.303135824,0.328333609,184.8585984
HNF4A.3,PPARA.1,Directed,60730,HNF4A.3 - PPARA.1 - THRB - PGRMC1,,0.651227666,0.305477969,0.348772334,184.8585984
PPARA.1,THRB,Directed,97235,,,0.628331534,0.306118379,0.371668466,184.8585984
NR1I3,PPARA.4,Directed,114221,NR1I3 - PPARA.4 - THRB - PGRMC1,,0.658453504,0.313505721,0.341546496,184.8585984
NR1I3,THRB,Directed,114783,,,0.651841564,0.301455292,0.348158436,184.8585984
NR1I3,THRB,Directed,114794,,,0.650059581,0.301816681,0.349940419,184.8585984
NR1I3,THRB,Directed,114939,,,0.601751629,0.30541387,0.398248371,184.8585984
NR1I3.1,VDR.2,Directed,128570,NR1I3.1 - VDR.2 - THRB - PGRMC1,,0.63508573,0.303649389,0.36491427,184.8585984
NR1I3.1,PPARA.4,Directed,129131,,,0.660456701,0.323172894,0.339543299,184.8585984
NR1I3.1,THRB,Directed,129701,,,0.640344729,0.304066324,0.359655271,184.8585984
NR1I3.1,THRB,Directed,129705,,,0.62937204,0.309183479,0.37062796,184.8585984
NR1I3.1,THRB,Directed,129717,,,0.623442872,0.301851804,0.376557128,184.8585984
PPARA.4,THRB,Directed,142245,,,0.605586453,0.305639918,0.394413547,184.8585984
THRB,PGRMC1,Directed,148665,,,0.616724637,0.302173959,0.383275363,184.8585984
HNF4A.2,NFE2L2,Directed,546,,,0.69283968,0.309528757,0.30716032,184.8585984
NFE2L2,NR1I2,Directed,10391,,,0.688660662,0.304523346,0.311339338,184.8585984
NFE2L2,NR1I2,Directed,104510,,,0.690317905,0.303820758,0.309682095,184.8585984
NFE2L2,NR1I2,Directed,10681,,,0.68368234,0.301157511,0.31631766,184.8585984
NFE2L2,NR1I2,Directed,10693,,,0.68373376,0.301302802,0.31626624,184.8585984
NFE2L2,HNF4A.3,Directed,10821,,,0.68979854,0.303301967,0.31020146,184.8585984
NFE2L2,NR1I2.1,Directed,11651,,,0.685955452,0.302418723,0.314044548,184.8585984
NFE2L2,NR1I2.1,Directed,11711,,,0.690931824,0.30342166,0.309068176,184.8585984
NFE2L2,ESR1.2,Directed,163041,,,0.694929164,0.306939259,0.305070836,184.8585984
NFE2L2,NR1I2.1,Directed,163451,,,0.67524495,0.304633093,0.32475505,184.8585984
NFE2L2,PPARA.1,Directed,163861,HNF4A.2 - NFE2L2 - PPARA.1 - FOXA2,,0.683733208,0.307283645,0.316266792,184.8585984
NFE2L2,PPARA.1,Directed,163871,,,0.667167126,0.302367702,0.332832874,184.8585984
NFE2L2,PPARA.1,Directed,163881,,,0.67068792,0.303399722,0.32931208,184.8585984
NFE2L2,PPARA.1,Directed,163901,,,0.690024497,0.310055483,0.309975503,184.8585984
NFE2L2,PPARA.1,Directed,163921,,,0.663989376,0.30469499,0.336010624,184.8585984
NFE2L2,PPARA.1,Directed,164001,,,0.684356448,0.310054022,0.315643552,184.8585984
NFE2L2,PPARA.1,Directed,164141,,,0.668488755,0.30469322,0.331511245,184.8585984
PPARA.1,THRB,Directed,209551,,,0.653093789,0.309179156,0.346906211,184.8585984
NR1I2,ESR1.2,Directed,314401,,,0.689979232,0.304484948,0.310020768,184.8585984
NR1I2,ESR1.2,Directed,314461,,,0.690250085,0.304253856,0.309749915,184.8585984
NR1I2,ESR1.2,Directed,314581,,,0.68312917,0.301078732,0.31687083,184.8585984
NR1I2,PPARA.1,Directed,315221,,,0.685062951,0.305720365,0.314937049,184.8585984
NR1I2,PPARA.1,Directed,315461,,,0.683561474,0.304705411,0.316438526,184.8585984
HNF4A.3,ESR1.2,Directed,323431,NFE2L2 - HNF4A.3 - ESR1.2 - PPARA.1,,0.691352765,0.303420573,0.308647235,184.8585984
HNF4A.3,ESR1.2,Directed,323501,,,0.679429278,0.305202876,0.320570722,184.8585984
HNF4A.3,PPARA.1,Directed,324291,,,0.686720062,0.30105507,0.313279938,184.8585984
ESR1.2,NR1I2.1,Directed,332451,NFE2L2 - ESR1.2 - NR1I2.1 - PPARA.1,,0.68656779,0.30276582,0.31343221,184.8585984
ESR1.2,NR1I2.1,Directed,332511,,,0.687002062,0.302076081,0.312997938,184.8585984
NR1I2.1,PPARA.1,Directed,341061,NFE2L2 - NR1I2.1 - PPARA.1 - FOXA2,,0.686387522,0.306695049,0.313612478,184.8585984
NR1I2.1,PPARA.1,Directed,341111,,,0.669904032,0.300983639,0.330095968,184.8585984
NR1I2.1,PPARA.1,Directed,341301,,,0.67832025,0.302557882,0.32167975,184.8585984
PPARA.1,FOXA2,Directed,349281,,,0.671666391,0.303135824,0.328333609,184.8585984
PPARA.1,THRB,Directed,607301,,,0.651227666,0.305477969,0.348772334,184.8585984
THRB,PGRMC1,Directed,972351,,,0.628331534,0.306118379,0.371668466,184.8585984
PPARA.4,THRB,Directed,1142211,,,0.658453504,0.313505721,0.341546496,184.8585984
THRB,PGRMC1,Directed,1147831,,,0.651841564,0.301455292,0.348158436,184.8585984
THRB,PGRMC1,Directed,1147941,,,0.650059581,0.301816681,0.349940419,184.8585984
THRB,USF1,Directed,1149391,NR1I3 - THRB - USF1 - PPARG.2,,0.601751629,0.30541387,0.398248371,184.8585984
VDR.2,THRB,Directed,1285701,,,0.63508573,0.303649389,0.36491427,184.8585984
PPARA.4,THRB,Directed,1291311,,,0.660456701,0.323172894,0.339543299,184.8585984
THRB,PGRMC1,Directed,1297011,,,0.640344729,0.304066324,0.359655271,184.8585984
THRB,PGRMC1,Directed,1297051,,,0.62937204,0.309183479,0.37062796,184.8585984
THRB,PGRMC1,Directed,1297171,,,0.623442872,0.301851804,0.376557128,184.8585984
THRB,PGRMC1,Directed,1422451,,,0.605586453,0.305639918,0.394413547,184.8585984
PGRMC1,RXRA.1,Directed,1486651,,,0.616724637,0.302173959,0.383275363,184.8585984
NFE2L2,PPARA.1,Directed,558,,,0.69283968,0.309528757,0.30716032,184.8585984
NR1I2,PPARA.1,Directed,10392,ESR1 - NFE2L2 - NR1I2 - PPARA.1,,0.688660662,0.304523346,0.311339338,184.8585984
NR1I2,PPARA.4,Directed,104512,ESR1 - NFE2L2 - NR1I2 - PPARA.4,,0.690317905,0.303820758,0.309682095,184.8585984
NR1I2,NR2F2.1,Directed,10682,ESR1 - NFE2L2 - NR1I2 - NR2F2.1,,0.68368234,0.301157511,0.31631766,184.8585984
NR1I2,NR2F2,Directed,10694,ESR1 - NFE2L2 - NR1I2 - NR2F2,,0.68373376,0.301302802,0.31626624,184.8585984
HNF4A.3,PPARA.1,Directed,10823,,,0.68979854,0.303301967,0.31020146,184.8585984
NR1I2.1,PPARA.1,Directed,11652,ESR1 - NFE2L2 - NR1I2.1 - PPARA.1,,0.685955452,0.302418723,0.314044548,184.8585984
NR1I2.1,PPARA.4,Directed,11713,ESR1 - NFE2L2 - NR1I2.1 - PPARA.4,,0.690931824,0.30342166,0.309068176,184.8585984
ESR1.2,PPARA.1,Directed,163042,HNF4A.2 - NFE2L2 - ESR1.2 - PPARA.1,,0.694929164,0.306939259,0.305070836,184.8585984
NR1I2.1,PPARA.1,Directed,163452,HNF4A.2 - NFE2L2 - NR1I2.1 - PPARA.1,,0.67524495,0.304633093,0.32475505,184.8585984
PPARA.1,FOXA2,Directed,163862,,,0.683733208,0.307283645,0.316266792,184.8585984
PPARA.1,NR1I3,Directed,163872,,,0.667167126,0.302367702,0.332832874,184.8585984
PPARA.1,NCOR2.2,Directed,163882,HNF4A.2 - NFE2L2 - PPARA.1 - NCOR2.2,,0.67068792,0.303399722,0.32931208,184.8585984
PPARA.1,VDR.2,Directed,163902,HNF4A.2 - NFE2L2 - PPARA.1 - VDR.2,,0.690024497,0.310055483,0.309975503,184.8585984
PPARA.1,THRB,Directed,163922,HNF4A.2 - NFE2L2 - PPARA.1 - THRB,,0.663989376,0.30469499,0.336010624,184.8585984
PPARA.1,VDR,Directed,164002,HNF4A.2 - NFE2L2 - PPARA.1 - VDR,,0.684356448,0.310054022,0.315643552,184.8585984
PPARA.1,NR2F2.1,Directed,164142,HNF4A.2 - NFE2L2 - PPARA.1 - NR2F2.1,,0.668488755,0.30469322,0.331511245,184.8585984
THRB,PGRMC1,Directed,209552,,,0.653093789,0.309179156,0.346906211,184.8585984
ESR1.2,PPARA.1,Directed,314402,NFE2L2 - NR1I2 - ESR1.2 - PPARA.1,,0.689979232,0.304484948,0.310020768,184.8585984
ESR1.2,PPARA.4,Directed,314462,,,0.690250085,0.304253856,0.309749915,184.8585984
ESR1.2,PPARA.3,Directed,314582,NFE2L2 - NR1I2 - ESR1.2 - PPARA.3,,0.68312917,0.301078732,0.31687083,184.8585984
PPARA.1,FOXA2,Directed,315222,,,0.685062951,0.305720365,0.314937049,184.8585984
PPARA.1,RXRB,Directed,315462,NFE2L2 - NR1I2 - PPARA.1 - RXRB,,0.683561474,0.304705411,0.316438526,184.8585984
ESR1.2,PPARA.1,Directed,323432,,,0.691352765,0.303420573,0.308647235,184.8585984
ESR1.2,THRB,Directed,323502,NFE2L2 - HNF4A.3 - ESR1.2 - THRB,,0.679429278,0.305202876,0.320570722,184.8585984
PPARA.1,VDR.2,Directed,324292,NFE2L2 - HNF4A.3 - PPARA.1 - VDR.2,,0.686720062,0.30105507,0.313279938,184.8585984
NR1I2.1,PPARA.1,Directed,332452,,,0.68656779,0.30276582,0.31343221,184.8585984
NR1I2.1,PPARA.4,Directed,332513,,,0.687002062,0.302076081,0.312997938,184.8585984
PPARA.1,FOXA2,Directed,341062,,,0.686387522,0.306695049,0.313612478,184.8585984
PPARA.1,PPARA.4,Directed,341113,,,0.669904032,0.300983639,0.330095968,184.8585984
PPARA.1,RXRB,Directed,341302,NFE2L2 - NR1I2.1 - PPARA.1 - RXRB,,0.67832025,0.302557882,0.32167975,184.8585984
FOXA2,NR1I3.1,Directed,349282,,,0.671666391,0.303135824,0.328333609,184.8585984
THRB,PGRMC1,Directed,607302,,,0.651227666,0.305477969,0.348772334,184.8585984
PGRMC1,FOXA1.1,Directed,972352,PPARA.1 - THRB - PGRMC1 - FOXA1.1,,0.628331534,0.306118379,0.371668466,184.8585984
THRB,PGRMC1,Directed,1142212,,,0.658453504,0.313505721,0.341546496,184.8585984
PGRMC1,PPARA,Directed,1147832,NR1I3 - THRB - PGRMC1 - PPARA,,0.651841564,0.301455292,0.348158436,184.8585984
PGRMC1,PPARG.2,Directed,1147942,NR1I3 - THRB - PGRMC1 - PPARG.2,,0.650059581,0.301816681,0.349940419,184.8585984
USF1,PPARG.2,Directed,1149392,,,0.601751629,0.30541387,0.398248371,184.8585984
THRB,PGRMC1,Directed,1285702,,,0.63508573,0.303649389,0.36491427,184.8585984
THRB,PGRMC1,Directed,1291312,NR1I3.1 - PPARA.4 - THRB - PGRMC1,,0.660456701,0.323172894,0.339543299,184.8585984
PGRMC1,PPARA.3,Directed,1297013,NR1I3.1 - THRB - PGRMC1 - PPARA.3,,0.640344729,0.304066324,0.359655271,184.8585984
PGRMC1,NR1D2.1,Directed,1297052,NR1I3.1 - THRB - PGRMC1 - NR1D2.1,,0.62937204,0.309183479,0.37062796,184.8585984
PGRMC1,PPARA.2,Directed,1297172,NR1I3.1 - THRB - PGRMC1 - PPARA.2,,0.623442872,0.301851804,0.376557128,184.8585984
PGRMC1,ARNT,Directed,1422452,PPARA.4 - THRB - PGRMC1 - ARNT,,0.605586453,0.305639918,0.394413547,184.8585984
RXRA.1,ARNT,Directed,1486652,THRB - PGRMC1 - RXRA.1 - ARNT,,0.616724637,0.302173959,0.383275363,184.8585984